company_name,company_address,num_employees_affected,layoff_date,union,union_rep_info,local_workforce_investment_area,date_notice_received,layoff_or_closure,severance,bumping_rights,jobs,updated(BLN)
Boeing Company,"['2401 E. Wardlow Road', ' Long Beach', ', CA', ' 90807']",227,11/21/14,Employer did not State,,"City of Long Beach, Pac Gateway Innovation Network                              ",10/2/14,Layoff,Employer did not State,Employer did not State,"{'J3C3 -Drivmatic Type Mach Op': 2, 'J3E3 - Automated Assembly Sys Oper': 1, 'J5G3 - Insp Final Assy Mechanical': 3, 'J7D3 - Overhaul & Repr Mech - FL': 1, 'J8S3 - Tank Test & Repair Mech': 66, 'K2J3 - Airc Str & Surf Mech': 130, 'Manufacturing Engineer 3': 1, 'Manufacturing Planner 4': 1, 'Procurement Agent 2': 2, 'Procurement Agent 3': 3, 'Procurement Agent 4': 3, 'Procurement Agent 5': 1, 'Procurement Agent Mgr K': 2, 'Procurement Cost Analyst Mgr K': 1, 'Procurement Multi-Fam Mgr L': 1, 'Quality Engineer 4': 1, 'S2X3 - Expediter': 1, 'Supply Base Management Mgr L': 1, 'Supply Base Management Spec 3': 1, 'Supply Base Management Spec 4': 2, 'Supplybase Base Management Spec 2': 1, 'System Support Tech Spec 4': 1, 'Systems Engr Support Analyst 5': 1, None: None}",3/16/20
Boeing Company,"['2401 E. Wardlow Rd.', ' Long Beach', ', CA', ' 90807']",119,2/20/15,Employer did not State,,"City of Long Beach, Pac Gateway Innovation Network                              ",12/29/14,Layoff,Employer did not State,Employer did not State,"{'Data Admin Coord D': 1, 'Industrial Eng 4': 3, 'J5D3': 3, 'J5G3 - Insp Mech': 8, 'J8S3 - Tank Repair': 24, 'K2A3 Airc Mech': 8, 'K2J3 - Airc Mech': 23, 'K5M3 Interiors Fab/Installer': 15, 'K7K3': 2, 'Manu Manager K': 1, 'Manufacturing Eng 3': 1, 'MFG Ops Analyst 4': 1, 'Office Amdin B': 1, 'Packaging Eng Spec 4': 2, 'Product Review Eng 4': 1, 'Qual Eng 4': 1, 'Qual Systems Spec 4': 1, 'Qual Systems Spec 5': 1, 'Quality Engineer 3': 1, 'R5W3 Insp Process': 3, 'S2U3 Planner': 1, 'S2X3 Expediter': 14, 'Supplier Quality Mgr M': 1, 'Supply Chain Mgmt Analyst 2': 1, 'Supply Chain Mgmt Analyst 4': 1, None: None}",3/16/20
Boeing Company,"['2401 E. Wardlow Road', ' Long Beach', ', CA', ' 90807']",21,2/6/15,Employer did not State,,"City of Long Beach, Pac Gateway Innovation Network                              ",12/12/14,Layoff,Employer did not State,Employer did not State,"{'Airc Str & Surf Mech': 3, 'Automated Assembly Sys Oper': 2, 'Expediter': 4, 'Interiors Fab/Installer': 2, 'Tank Test & Repair Mech': 10, None: None}",3/16/20
Boeing Company,"['2401 E. Wardlow Road', ' Long Beach', ', CA', ' 90807']",95,1/23/15,Employer did not State,,"City of Long Beach, Pac Gateway Innovation Network                              ",12/12/14,Layoff,Employer did not State,Employer did not State,"{'Industrial Engineer 5': 1, 'J5G3 - Insp Final Assy Mechanical': 1, 'J5U2 - Tooling Inspector': 2, 'J8S3 - Tank Test & Repair Mech': 14, 'J8U3 - Test Equip Tech-Elect': 2, 'K2J3 - Airc Str & Surf Mech': 25, 'K5Y3 - Jig & Fixture Builder': 5, 'Manufacturing Engineer 3': 1, 'Manufacturing Manager K': 3, 'Mech Sys Design & Anlys Engr 4': 1, 'Numerical Control Programmer 4': 1, 'Numerical Control Programmer 5': 2, 'Product & Svc Quality Mgr K': 1, 'Product Data Mgmt Engr 4': 1, 'Project Mgmnt Spec 3': 1, 'Project Mgmnt Spec 4': 2, 'Project Mgmnt Spec 5': 1, 'R2F3 - Department Clerk': 2, 'R2U3 - Planning Data Reconciler': 1, 'R3C3 - Tool Liaison Spec': 5, 'R5W3 - Inspector Wing Build Process': 1, 'S2U3 - Planner': 6, 'S2X3 - Expediter': 5, 'Systems Engr Support Analyst 5': 1, 'Test & Eval Integr Spec 5': 1, 'Test & Evaluation Engineer 5': 2, 'Test & Evaluation Lab Tech 3': 1, 'Test & Evaluation Lab Tech 4': 1, 'Tool Engineer 4': 3, 'Tool Integ Analyst 4': 1, 'Wire Design & Install Engr 4': 1, None: None}",3/16/20
Boeing Company,"['2401 E. Wardlow Rd.', ' Long Beach', ', CA', ' 90807']",15,8/7/15,Employer did not State,,"City of Long Beach, Pac Gateway Innovation Network                              ",6/15/15,Layoff,Employer did not State,Employer did not State,"{'Airc Assembly Mechanic': 7, 'Airc Electrical Mech': 2, 'Airc Str & Surf Mech': 1, 'Insp Final Assy Mechanical': 1, 'Interiors Fab/Installer': 1, 'Tank Test & Repair Mech': 3, None: None}",3/16/20
Bon Appetit Management Company,"['2200 Mission College Boulevard', ' Santa Clara', ', CA', ' 95054']",97,11/26/14,No,,"NOVA Consortium (North Santa Clara), Employment De                              ",10/27/14,Closure,Employer did not State,No,"{'Accountant, Staff': 1, 'Attendant, Catering': 9, 'Cashier': 21, 'Chef': 5, 'Chef Manager': 1, 'Cook 1': 10, 'Cook 2': 8, 'Cook 3': 13, 'DDS II': 2, 'Food Service Utility': 14, 'Host/Hostess': 2, 'Manager, General I': 1, 'Manager, General II': 1, 'Manager, General III': 1, 'Supervisor, Admin Services': 1, 'Supervisor, Shift - Hourly': 5, 'Utility': 2, None: None}",3/16/20
"Citrix Systems, Inc","['4988 Great America Parkway', ' Santa Clara', ', CA', ' 95054']",99,4/3/15,No,,"NOVA Consortium (North Santa Clara), Employment De                              ",2/9/15,Layoff,Yes,No,"{'Accelerator': 1, 'Art Director': 1, 'Communications Mgr': 1, 'Content Strategist': 1, 'Creative Director': 1, 'Customer Success Manager': 1, 'Director Consulting Services': 1, 'Director, Operational Consulting': 1, 'Director, Product Developing': 1, 'Director, Product Management': 1, 'Director, QA': 1, 'Executive Assistant': 1, 'Lead Continuous Improvement Analyst': 1, 'Lead Escalation Engineer': 1, 'Lead Information Developer': 1, 'Lead Tech Support Engr': 1, 'Lead Technical Writer': 1, 'Lead Territory Inside Sales': 1, 'Lead Web Application Developer': 1, 'Lead Web Developer, Front-End': 1, 'Manager, Content Strategy': 1, 'Marketing & Ops Mgr, Startup': 1, 'Mgr 1, Product Dev': 1, 'Mgr 2, Product Dev, Virtualization Solut': 1, 'Mgr Tech Support III': 1, 'Multimedia Networking QA Engineer': 1, 'Principal Partnership Relationship Mgr': 1, 'Principal Product Manager': 1, 'Principal Product Manager 1': 1, 'Principal Software Dev Eng': 1, 'Principal SW Engr': 1, 'Project Manager': 1, 'QA Tester': 1, 'Quality Assurance Analyst': 1, 'Sales and Customer Engagement Analyst': 1, 'Senior Director, Product marketing Opera': 1, 'Senior Escalation Engineer': 1, 'Senior Financial and Operations Analyst': 1, 'Senior Licensing Counsel': 1, 'Senior Manager Product Management': 1, 'Senior Manager, Operational Systems': 1, 'Senior Operational Counsulting Manager': 1, 'Senior Software Engineer': 1, 'Senior Tech Support Engineer': 1, 'Software Development Engineer': 1, 'Software Engineer 2': 1, 'Software Teest Engr 2': 1, 'Sr Alliance Marketing Mgr': 1, 'Sr Director Facilities & Real Estate': 1, 'Sr Director, PMM': 1, 'Sr Manager Facilities & Real Estate': 1, None: None}",3/16/20
Boeing Company,"['5301 Bolsa Avenue', ' Huntington Beach', ', CA', ' 92647']",40,11/21/14,Employer did not State,,"Orange County Community Services Agency, Special P",10/1/14,Layoff,Employer did not State,Employer did not State,"{'Aerodynamics Engineer 4': 1, 'Aerodynamics Engineer 5': 1, 'Aerodynamics Engineer 6': 1, 'Business & Planning Analyst 5': 1, 'Elect Design and Analy Engr 3': 1, 'Electrophysics Engr/Scien 3': 1, 'Estimating & Pricing Spec 4': 1, 'Estimating & Pricing Spec 5': 1, 'Finbus Mgmt Multi Mgr M': 1, 'Guidance Nav & Control Engr 3': 1, 'Mech Sys Design & Anlys Engr 4': 1, 'Mp & P Engineer 3': 2, 'MP & P Engineer 4': 2, 'Procurement Agent 3': 3, 'Procurement Agent 4': 1, 'Procurement Agent 5': 1, 'Procurement Cost Analyst 4': 2, 'Procurement Multi-Fam Mgr K': 1, 'Project Engineer 6': 1, 'Propulsion Engineer 4': 2, 'Software Engineer 6': 1, 'Software Engineering Manager': 1, 'Structural Analysis Engineer 4': 1, 'Structural Analysis Engineer 5': 3, 'Structural Analysis Engineer 6': 1, 'Systems Engineer 4': 2, 'Systems Engineer 6': 2, 'Systems Engr Support Analyst 4': 1, 'Test & Evaluation Engineer 3': 1, 'Wire Design & Install Engr 4': 1, None: None}",3/16/20
Boeing Company,"['5301 Bolsa Avenue', ' Huntington Beach', ', CA', ' 92647']",53,10/24/14,Employer did not State,,"Orange County Community Services Agency, Special P",8/26/14,Layoff,Employer did not State,Employer did not State,"{'Aerodynamics Engineer 4': 1, 'Business & Planning Analyst 4': 1, 'Business Process Anlst 5': 1, 'Design and Analysis Engineer 3': 1, 'Design and Analysis Engineer 4': 1, 'Design and Analysis Engineer 5': 2, 'Electrophysics Engr/Scien 5': 1, 'Govt & Cap Property Spec 3': 1, 'Guidance Nav & Control Engr 4': 1, 'Guidance Nav & Control Engr 6': 1, 'Health Services Supt Admin B': 1, 'Industrial Engineer 4': 1, 'Integrated Sched Spec 4': 1, 'Lead Practitioner 5': 1, 'Mech Sys Design & Anlys Engr 1': 1, 'Mech Sys Design & Anlys Engr 4': 1, 'MP&P Engineer 4': 1, 'Process Engineer 4': 1, 'Process Engineer 5': 1, 'Product Data Mgmt Specialist 3': 3, 'Product Data Mgmt Specialist 4': 1, 'Program Management Spec 6': 1, 'Program Management Spec M': 1, 'Project Engineer 6': 2, 'Project Mgmnt Spec 3': 1, 'Propulsion Engineer 6': 1, 'Software Engineer 4': 1, 'Software Engineer 5': 3, 'Software Engineer 6': 1, 'Software Engineering Manager': 1, 'Struct & Payload Design Engr 4': 1, 'Structural Analysis Engineer 3': 2, 'Supply Chain Mgmt Analyst 4': 1, 'Supply Chain Specialist 3': 1, 'Supply Chain Specialist 4': 1, 'Systems and Data Analyst 4': 1, 'Systems Engineer 4': 2, 'Systems Engineer 5': 3, 'Systems Engineer 6': 2, 'Test & Evaluation Engineer 3': 1, 'Test & Evaluation Engineer 4': 1, 'Wire Design & Install Engr 4': 1, None: None}",3/16/20
Boeing Company,"['5301 Bolsa Avenue', ' Huntington Beach', ', CA', ' 92647']",29,1/23/15,Employer did not State,,"Orange County Community Services Agency, Special P",12/12/14,Layoff,Employer did not State,Employer did not State,"{'Aerodynamics Engineer 4': 1, 'Design and Analysis Engineer 3': 1, 'Design and Analysis Engineer 5': 1, 'Electrophysics Engr/Scien 3': 1, 'Electrophysics Engr/Scien 5': 1, 'Employee Relations Spec 5': 1, 'Integrated Sched Spec 4': 2, 'Mech Sys Design & Anlys Engr 5': 1, 'MP & P Engineer 3': 1, 'MP & P Engineer 5': 1, 'Project Engineer 5': 2, 'Project Engineer 6': 1, 'Propulsion Engineer 5': 1, 'Propulsion Engineer 6': 1, 'Software Engineer 3': 1, 'Software Engineer 4': 2, 'Software Engineer 5': 2, 'Software Engineer 6': 1, 'Structural Analysis Engineer 4': 1, 'Structural Analysis Engineer 5': 1, 'Systems Engineer 5': 1, 'Systems Engineer 6': 1, 'Systems Engr Support Analyst 5': 1, 'Test & Evaluation Engineer 4': 2, None: None}",3/16/20
BAE Systems,"['20th Street', ' San Francisco', ', CA', ' 94107']",1,5/20/15,Employer did not State,,Office of Economic and Workforce Development SF                                 ,6/4/15,Layoff,Employer did not State,Employer did not State,"{'Technical Intern': 1, None: None}",3/16/20
Capitol Expressway Ford,"['919 Capitol Expressway Automall', ' San Jose', ', CA', ' 95136']",102,12/5/14,No,,"San Jose Silicon Valley, Workforce Investment Netw",12/17/14,Layoff,Employer did not State,No,"{'Accounts Payable': 1, 'Cashier': 3, 'Contract Clerk': 1, 'Controller': 1, 'Detailer': 6, 'DMV Clerk': 1, 'Finance Director': 1, 'Finance Manager': 4, 'General Manager': 1, 'Internet Sales': 4, 'Office Manager': 1, 'Part time file clerk': 1, 'Parts and Service Direcator': 1, 'Parts Counter': 6, 'Parts Driver': 4, 'Parts Manager': 1, 'Receptionist': 2, 'Sales Manager': 3, 'Sales Support Staff': 2, 'Salesman': 13, 'Service Advisor': 6, 'Service Clerical Support Staff': 2, 'Service Manager': 1, 'Service Porter': 5, 'Service Technicians': 29, 'Shuttle Driver': 1, 'Used Car/Recon Manager': 1, None: None}",3/16/20
Boeing Company,"['2260 E. Imperial Highway', ' El Segundo', ', CA', ' 90245']",37,10/24/14,Employer did not State,,South Bay Workforce Investment Board                                            ,8/27/14,Layoff,Employer did not State,Employer did not State,"{'Engineering Multi-Skill Mgr M': 1, 'Guidance Nav & Control Engr 1': 1, 'Guidance Nav & Control Engr 2': 1, 'Guidance Nav & Control Engr 3': 1, 'Guidance Nav & Control Engr 4': 1, 'Guidance Nav & Control Engr 5': 1, 'Integrated Sched Spec 5': 1, 'Product Data Mgmt Engr 3': 1, 'Project Engineer 4': 1, 'Software Engineer 3': 1, 'Software Engineer 4': 3, 'Software Engineer 5': 3, 'Software Engineer 6': 1, 'Systems Engineer 5': 3, 'Systems Engineer 6': 1, 'Test & Evaluation Engineer 2': 2, 'Test & Evaluation Engineer 3': 7, 'Test & Evaluation Engineer 4': 5, 'Test & Evaluation Engineer 6': 1, 'Wire Design & Install Engr 4': 1, None: None}",3/16/20
Boeing Company,"['2260 E. Imperial Highway', ' El Segundo', ', CA', ' 90245']",51,11/21/14,Employer did not State,,South Bay Workforce Investment Board                                            ,10/3/14,Layoff,Employer did not State,Employer did not State,"{'Design and Analysis Engineer 5': 1, 'Guidance Nav & Control Engr 5': 1, 'Manufacturing Manager L': 1, 'Manufacturing Planner 3': 1, 'Materials Mgmt Analyst 2': 1, 'Mech Sys Design & Anlys Engr 1': 1, 'Mech Sys Design & Anlys Engr 2': 3, 'Mech Sys Design & Anlys Engr 3': 1, 'Mech Sys Design & Anlys Engr 4': 1, 'Mech Sys Design & Anlys Engr 5': 5, 'Mech Sys Design & Anlys Engr 6': 2, 'MP & P Engineer 3': 1, 'MP & P Engineer 4': 2, 'MP & P Engineer 5': 2, 'Procurement Agent 2': 1, 'Procurement Agent 3': 2, 'Procurement Agent 5': 2, 'Program Management Spec 6': 1, 'Project Engineer 6': 1, 'Project Mgmnt Spec 4': 1, 'Software Engineer 3': 2, 'Software Engineer 4': 3, 'Struct & Payload Design Engr 4': 2, 'Struct & Payload Design Engr 5': 2, 'Structural Analysis Engineer 5': 2, 'Supply Chain Mgmt Analyst 2': 2, 'Supply Chain Mgmt Analyst 3': 1, 'Systems Engineer 2': 1, 'Systems Engineer 3': 1, 'Systems Engineer 4': 1, 'Wire Design & Install Engr 2': 2, 'Wire Design & Install Engr 3': 1, None: None}",3/16/20
Boeing Company,"['2260 E. Imperial Highway', ' El Segundo', ', CA', ' 90245']",33,2/20/15,Employer did not State,,South Bay Workforce Investment Board                                            ,12/29/14,Layoff,Employer did not State,Employer did not State,"{'Design and Analysis Eng 5': 1, 'Elect Design and Anal Eng 4': 1, 'Guidance Nav & Contr Engr 5': 1, 'Project Eng 5': 1, 'Software Eng 3': 5, 'Software Eng 4': 7, 'Software Eng 5': 2, 'Struct & Payload Design Engr 5': 1, 'Sys Eng 4': 2, 'Sys Eng 5': 2, 'System Eng 2': 1, 'Systems Eng 3': 2, 'Test & Eval Eng  4': 1, 'Test & Eval Eng 2': 1, 'Test & Eval Eng 3': 2, 'Thermal Ins Fab sr': 2, 'Wire Design & Install Eng 3': 1, None: None}",3/16/20
Boeing Company,"['2260 E. Imperial Highway', ' El Segundo', ', CA', ' 90245']",57,1/23/15,Employer did not State,,South Bay Workforce Investment Board                                            ,12/12/14,Layoff,Employer did not State,Employer did not State,"{'Asmb/Fab Space Batt Owr Sys Sr': 2, 'Assembler Space Elect Sr': 7, 'Design and Analysis Engineer 5': 1, 'Design and Analysis Engineer 6': 1, 'Elect Design and Analy Engr 4': 6, 'Elect Design and Analy Engr 5': 2, 'Electrophysics Engr/Scien 3': 3, 'Electrophysics Engr/Scien 5': 1, 'Electrophysics Engr/Scien 6': 2, 'Guidance Nav & Control Engr 2': 1, 'Guidance Nav & Control Engr 4': 1, 'Guidance Nav & Control Engr 5': 1, 'Hybrid Microwave IC Tech B': 4, 'Manufacturing Engineer 4': 1, 'Manufacturing Engineer 5': 1, 'Mech Sys Design & Anlys Engr 2': 1, 'MP & P Engineer 4': 2, 'MP & P Engineer 5': 1, 'Production Ops Spec 3': 1, 'Project Engineer 5': 2, 'Software Engineer 3': 3, 'Software Engineer 4': 2, 'Software Engineer 5': 1, 'Space Bat Power Sys Tech Sr': 1, 'Systems Engineer 3': 1, 'Systems Engineer 5': 2, 'Systems Engineer 6': 1, 'Technical Design 4': 1, 'Test & Evaluation Engineer 4': 2, 'Wire Design & Install Engr 2': 2, None: None}",3/16/20
"CytoSport, Inc.","['4795 Industrial Way', ' Benicia', ', CA', ' 94510']",124,7/1/15,No,,Workforce Investment Board of Solano County       ,5/11/15,Closure,Employer did not State,No,"{'Batching': 28, 'Facilities': 2, 'Maintenance': 6, 'Materials Group': 11, 'Operations': 9, 'Packaging': 45, 'Quality Control': 12, 'Receiving': 6, 'Shipping': 5, None: None}",3/16/20
Boeing Company,"['2401 E. Wardlow Road', ' Long Beach', ', CA', ' 90807']",49,10/24/14,Employer did not State,,"City of Long Beach, Pac Gateway Innovation Network                              ",8/26/14,Layoff,Employer did not State,Employer did not State,"{'Govt & Cap Property Spec 3': 1, 'Lean Practitioner 5': 1, 'Manufacturing Engineer 4': 2, 'Manufacturing Manager K': 1, 'Material Requirements Planner': 1, 'Project Mgmnt Spec 4': 1, 'Software Engineer 3': 1, 'Software Engineer 5': 1, 'Systems Engineer 5': 1, 'Tank Test & Repair Mech': 37, 'Test & Evaluation Engineer 4': 2, None: None}",3/16/20
"Crystal Cathedral Ministries, Shepherd's Grove Schools","['12901 Lewis Street', ' Garden Grove', ', CA', ' 92840']",27,7/15/15,Employer did not State,,"Orange County Community Services Agency, Special P",5/27/15,Closure,Employer did not State,Employer did not State,"{""Teachers, Teachers' Aids, Administrative Staff and Custodial Staff"": 27, None: None}",3/16/20
BAE Systems,"['20th Street', ' San Francisco', ', CA', ' 94107']",1,8/11/14,Employer did not State,,Office of Economic and Workforce Development SF                                 ,9/3/14,Layoff,Employer did not State,Employer did not State,"{'Inspector Master': 1, None: None}",3/16/20
CTI Foods/Custom Food Products,"['20644 S. Fordyce Avenue', ' Long Beach', ', CA', ' 90810']",315,10/7/14,No,,"City of Long Beach, Pac Gateway Innovation Network                              ",8/4/14,Closure,No,No,"{'EDNS': 315, None: None}",3/16/20
BAE Systems,"['20th Street', ' San Francisco', ', CA', ' 94107']",1,8/4/14,Employer did not State,,Office of Economic and Workforce Development SF                                 ,9/3/14,Layoff,Employer did not State,Employer did not State,"{'Leadingperson II': 1, None: None}",3/16/20
BAE Systems,"['20th Street', ' San Francisco', ', CA', ' 94107']",1,5/26/15,Employer did not State,,Office of Economic and Workforce Development SF                                 ,6/8/15,Layoff,Employer did not State,Employer did not State,"{'Non Technical Intern 3': 1, None: None}",3/16/20
California Superstores Valencia CJDR,"['23820 Creekside Road', ' Valencia', ', CA', ' 91355']",64,11/10/14,Employer did not State,,Los Angeles County WDACS                                                        ,9/17/14,Closure,Employer did not State,Employer did not State,"{'EDNS': 64, None: None}",3/16/20
CP Costa Mesa LLC,"['3333 Bristol Street', ' Costa Mesa', ', CA', ' 92626']",85,5/2/15,No,,"Orange County Community Services Agency, Special P",3/5/15,Closure,Employer did not State,No,"{'EDNP': 85, None: None}",3/16/20
"Kohl's Department Stores, Inc.","['545 Southland Mall', ' Hayward', ', CA', ' 94545']",90,1/17/15,No,,Alameda County Workforce Development Board                                      ,10/7/14,Closure,Yes,No,"{'Ad Set Supervisor': 1, 'Administrative Assistant': 1, 'Apparel (Int/Acc) Specialist': 1, 'Apparel (MJM) Associate': 21, 'Apparel (MJM) Supervisor': 2, 'Area Supervisor AA': 1, 'Area Supervisor CFH': 1, 'Area Supervisor Customer Service': 1, 'Assistant Store Manager': 2, 'Beauty Advisor': 3, 'Customer Service Associate': 3, 'Freight Associate': 4, ""Home & Children's Sales Assoc."": 5, 'Home and Kids Sales Supervisor': 1, 'Intimate/Accessories Sale Associate': 1, 'Jewelry Consultant': 3, 'Lead Jewelry Consultant': 1, 'Loss Prevention Officer': 3, 'Loss Prevention Service Spec': 3, 'Loss Prevention Supervisor': 1, 'Operations Area Supervisor': 1, 'POS Associate': 19, 'Shoes Sales Associate': 8, 'Shoes Sales specialist': 1, 'Store Manager': 1, 'Visual Merchandiser': 1, None: None}",3/16/20
JPMorgan Chase & Co.,"['7077 Koll Center Pkwy', ' Pleasanton', ', CA', ' 94566']",63,3/30/15,No,,Alameda County Workforce Development Board                                      ,2/2/15,Layoff,Yes,No,"{'Applications Developer': 8, 'Applications Developer Lead': 4, 'Applications Support Analyst': 2, 'Applications Support Director': 1, 'Business Analyst': 5, 'Business System Lead': 2, 'Business Systems Manager': 1, 'Client Service Analyst': 3, 'Control Officer Manager': 2, 'Database Management Analyst': 2, 'Database Management Lead': 1, 'Engineeer': 5, 'Engineeer Lead': 2, 'Executive Administrative Asst': 1, 'Implementation Manager': 4, 'Information Analyst II': 4, 'Operations Manager': 1, 'Prod Stratgy/Sup Analyst Sr': 2, 'Product Manager - Senior': 1, 'Program Manager - Senior': 1, 'Project Manager': 1, 'Quality Assurance Lead': 1, 'Quality Assurnace Analyst': 4, 'Tech Ops Analyst': 1, 'Tech Ops Manager': 1, 'Technology Director': 2, 'UAT Analyst Sr': 1, None: None}",3/16/20
"Ito Packing Company, Inc.","['707 W. South Ave', ' Reedley', ', CA', ' 93654']",197,7/31/15,No,,Fresno Area Workforce Investment Corporation      ,6/3/15,Closure,Employer did not State,No,"{'A/P Mgr': 1, 'Bob tail Drivers': 2, 'Cold Storage Mgr': 1, 'Field Irrigators': 3, 'Field Mgr': 4, 'Forklift Drivers': 4, 'Janitor': 1, 'Mechanic': 3, 'Office Clerk': 1, 'Plant Mgr': 1, 'Receiving Mgr': 1, 'Seasonal Box makers': 3, 'Seasonal Forklift Drivers': 11, 'Seasonal General Help': 2, 'Seasonal Mechanic': 1, 'Seasonal Packer/Grader': 117, 'Seasonal Palletizers': 21, 'Seasonal Semi-Driver': 1, 'Seasonal Shipping Clerk': 1, 'Seasonal Supervisors': 3, 'Security': 4, 'Tractor Drivers': 11, None: None}",3/16/20
Hewlett-Packard Company,"['8000 Foothills Boulevard', ' Roseville', ', CA', ' 95747']",54,10/24/14,No,,Golden Sierra Job Training Agency                 ,12/3/14,Layoff,Employer did not State,No,"{'Bus Development Consultant V': 1, 'Business Operations Manager': 2, 'Business Operations Mgr II': 4, 'Client Manager IV': 1, 'Cust Engmt Mgmt Advisor II': 1, 'Cust Engmt Mgmt Advisor III': 1, 'EHS Manager I': 1, 'Engr Program Mgr I': 2, 'Engr Program Mgr II': 2, 'Engr Program Mgr III': 1, 'Info Systems Architect IV': 1, 'IT Business Consultant II': 1, 'IT Developer/Engineer I': 2, 'IT Developer/Engineer III': 2, 'IT Developer/Engineer IV': 1, 'IT Ops/Support Analyst IV': 1, 'ITO Svc Delivery Cons III': 1, 'Mgr Developer/Engineer II': 1, 'Mgr Process & Capabilities II': 1, 'Mgr Systems/Software Engr II': 1, 'Operational Acct Mgmt Adv IV': 2, 'Operational Acct Mgmt Adv V': 1, 'Process & Capabilities Mgr I': 1, 'Procurement Engineer V': 1, 'Project Manager III-Internal': 1, 'Real Estate Project Mgr II': 1, 'Sales Supt Mgmt Analyst III': 1, 'Service Segment Mgr V': 1, 'Software Designer V': 7, 'Software Designer VI': 2, 'Strategic Development Mgr I': 2, 'Strategic Development Mgr II': 1, 'Strategic Development Mgr III': 1, 'Strategic Procurement Mgr III': 2, 'SW Engr Firmware III': 1, 'SW Engr QA III': 1, None: None}",3/16/20
Intuit Inc,"['21215 Burbank Blvd, Ste 100', ' Woodland Hills', ', CA', ' 91367']",120,9/15/14,No,,City of Los Angeles                               ,8/1/14,Layoff,Employer did not State,No,"{'Account Mgr': 2, 'Architect': 1, 'Associate Account Mgr': 2, 'Dir Finance': 1, 'Mgr 1 Service & Support': 2, 'Mgr 1 Service & Support - NCF': 5, 'Mgr 2 Customer Support': 1, 'Mgr 2 Development': 2, 'Mgr 2 Service & Support': 2, 'Senior Application Ops Engineer': 1, 'Service & Support Spec 1 - NCF': 18, 'Service & Support Spec 2 - NCF': 22, 'Service & Support Spec 3 - NCF': 8, 'Service & Support Specialist': 31, 'Sr Offering Program Mgr': 1, 'Sr SCM Engineer': 1, 'Sr Service & Support Spec': 4, 'Sr SW Engineer': 7, 'Sr SW Quality Analyst': 1, 'Sr SWE in Quality': 1, 'Sr XD Writer/Editor (IC2)': 1, 'Staff SW Engineer': 2, 'Staff SWE in Quality': 1, 'SW Engineer 2': 1, 'SWE in Quality 2': 1, 'Systems Engineer': 1, None: None}",3/16/20
"Investor's Business Daily, Inc.","['12655 Beatrice Street', ' Los Angeles', ', CA', ' 90066']",38,11/10/14,No,,City of Los Angeles                               ,9/3/14,Layoff,Employer did not State,No,"{'Administrative Assistant, Direct Marketing': 4, 'Dialer Operator, Direct Marketing': 1, 'Direct Marketing Sales Department Supervisor': 3, 'General Sales Manager, Direct Marketing': 1, 'Sales Associate, Direct Marketing': 29, None: None}",3/16/20
"Intuit, Inc.","['11 Brooks Avenue', ' Venice', ', CA', ' 90291']",11,8/24/15,No,,City of Los Angeles                               ,6/30/15,Closure,Employer did not State,No,"{'Inside Sales Consultant Inbound 2': 1, 'Mgr 3 Development': 1, 'Sr Service and Support Spec': 1, 'Sr Supportability Specialist': 1, 'Sr SW Engineer': 3, 'Sr SWE in Quality': 1, 'Sr Visual Designer': 1, 'SW Engineer 2': 2, None: None}",3/16/20
"Jerry's Famous Deli, Inc.","['4578 Van Nuys Boulevard', ' Sherman Oaks', ', CA', ' 91403']",60,6/8/15,No,,City of Los Angeles                               ,4/6/15,Closure,Employer did not State,No,"{'Bakery/Hourly': 12, 'Bakery/Salary': 1, 'Busboys': 6, 'Cleaning': 2, 'Cook': 6, 'Deli': 7, 'Hosts/Cashier': 5, 'Management': 3, 'Office': 1, 'Prep': 5, 'Servers': 12, None: None}",3/16/20
"Littler Mendelson, P.C.","['2049 Century Park East, 5th Floor', ' Los Angeles', ', CA', ' 90067']",2,8/3/15,No,,City of Los Angeles                               ,6/9/15,Layoff,Employer did not State,No,"{'Infrastructure Analyst - DM': 1, 'Infrastructure Analyst Lead': 1, None: None}",3/16/20
HERE North America LLC,"['23621 Park Sorento Road', ' Calabasas', ', CA', ' 91302']",15,1/14/15,No,,Los Angeles County WDACS                                                        ,11/21/14,Layoff,Employer did not State,No,"{'Executive Assistant': 1, 'Principal Designer': 9, 'Sr Designer': 3, 'Sr Manager Design': 1, 'Sr Product Manager': 1, None: None}",3/16/20
